file,emotion,dur,F1,F2,F3,F4,F5,F6,Mean_F0,F0_start,F0_end,Max_F0,Perc_Time_Max_F0,Min_F0,F0_abs_slope,F0_Var,Q25,Q50,Q75,Fpeak,AM_var,AM_rate,AM_extent,harmonicity,Formant_dispersal,Vocal_tract_length,Mean_wiener_entropy
ut_laugh-amused_49-f,amusement,1.242,894.256,1683.419,2796.57,3661.755,5525.225,6394.407,340.35,445.63,119.02,470.659,82.969,119.021,984.29,918.034,895.09,1441.022,2321.074,924.948,173.237,10.467,16.55,4.67,1050.93,16.652,-1.964
ut_laugh-amused_53-f,amusement,3.402,873.092,1799.573,2673.748,3284.789,3881.821,5191.347,372.617,352.4,360.34,488.823,47.417,200.171,752.867,704.443,893.675,1141.385,2107.24,873.106,266.262,13.229,20.127,8.83,976.14,17.928,-2.903
ut_laugh-malice_00,amusement,5.443,874.038,1343.755,4007.277,5072.683,7501.189,9288.573,387.077,426.06,469.65,470.751,32.42,129.401,827.563,781.927,876.782,1269.533,1713.836,931.027,243.604,12.125,20.092,6.15,861.067,20.324,-2.063
ut_laugh-malice_03,amusement,3.004,830.739,1433.319,2550.629,3064.774,4810.324,6234.59,378.115,416.56,419.64,460.305,53.781,155.882,938.757,868.785,769.072,1180.58,2111.021,894.485,138.676,15.645,8.864,4.4,914.694,19.132,-1.935
ut_laugh-malice_11,amusement,7.184,1000.052,1704.952,2729.592,4057.987,4695.268,6562.586,309.53,140.35,345.83,453.941,57.119,140.351,466.282,300.102,1128.436,1810.31,3536.971,962.795,226.901,13.155,17.249,-0.06,829.582,21.095,-1.112
ut_laugh-malice_12,amusement,6.008,671.419,1385.601,2755.939,3494.772,5469.114,5902.243,274.761,284.46,170.75,333.911,67.965,168.527,146.993,127.391,716.673,1410.381,2591.932,584.223,213.772,10.153,21.055,1.64,1002.023,17.465,-1.127
ut_laugh-malice_18,amusement,2.698,926.27,1303.341,2831.98,3857.048,4824.323,5855.799,303.228,291.87,468.29,469.913,18.887,87.851,954.508,856.618,1108.106,1698.116,5332.308,1068.911,126.119,16.307,7.734,5.8,961.828,18.195,-2.974
ut_laugh-malice_19-m,amusement,1.556,807.801,1153.775,3195.904,3914.13,4988.674,5544.124,349.645,166.73,460.72,474.414,89.154,139.793,1095.566,1031.519,786.403,1004.43,1363.684,955.5,162.739,15.741,10.338,7.64,883.415,19.809,-1.888
ut_pain_00,pain,1.112,839.869,1210.436,2555.978,3846.962,4562.394,5771.151,317.593,191.71,140.55,423.739,32.567,106.57,1713.587,1254.379,879.984,1166.421,2060.715,817.984,99.704,13.941,7.152,7.09,913.248,19.162,-2.442
ut_pain_03,pain,0.98,756.289,1072.629,2656.991,3228.453,3680.334,5290.496,198.751,271.58,84.15,279.272,8.211,84.148,243.704,206.328,923.786,1964.706,2955.62,1052.699,80.367,18.361,4.377,2.22,943.67,18.545,-2.217
ut_pain_05,pain,1.202,844.582,1192.482,2642.051,4509.996,5209.691,6800.692,227.844,109.88,188.1,396.673,32.74,105.141,474.179,438.302,938.434,1195.51,1898.06,1131.908,71.045,21.209,3.35,0.75,837.078,20.906,-1.738
ut_pain_07,pain,0.984,909.767,1576.274,2786.384,3140.2,3916.544,4649.069,116.25,86.37,86.59,226.815,84.701,86.372,615.495,346.175,1043.431,1394.74,1696.438,1565.01,76.412,11.686,6.539,4.64,929.929,18.819,-2.151
ut_pain_12,pain,1.086,907.821,2207.628,3312.902,4520.973,5965.77,6761.606,361.065,319.79,352.44,449.525,42.49,147.769,1313.326,937.858,1554.28,2031.217,2250.329,2233.386,97.096,17.952,5.409,7.14,636.897,27.477,-2.856
ut_pain_18-birth,pain,1.344,883.633,1325.643,2366.397,2958.655,3633.626,5514.751,327.425,320.58,287.06,447.621,42.661,133.882,589.856,461.313,1219.091,1364.422,1666.844,1299.068,128.005,15.254,8.391,8.36,701.794,24.936,-3.263
ut_pain_25-birth,pain,4.878,834.548,1387.941,2358.523,3018.339,3565.35,4463.352,350.081,297.43,237.11,491.158,32.851,86.861,888.346,872.721,982.37,1849.18,2873.047,968.596,59.041,20.808,2.837,3.18,887.562,19.717,-1.616
ut_pain_31-birth-2-scream,pain,3.702,1405.666,2108.216,2350.574,3634.582,4992.213,5949.009,348.604,409.76,286.19,494.386,84.343,121.657,571.728,561.9,1446.045,1985.045,2671.773,1428.316,97.036,16.343,5.937,9.3,785.77,22.271,-3.622
